goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
                                │ ./stdlib.10.1706904187.07e88bec.txt │  ./strcase.10.1706904187.07e88bec.txt   │
                                │               sec/op                │    sec/op      vs base                  │
IndexRune_Bytes/4K-8                                47.52Gi ± 0%    47.97Gi ± 0%     +0.94% (p=0.000 n=10)
IndexRune_Bytes/4M-8                                38.98Gi ± 1%    38.90Gi ± 2%          ~ (p=0.796 n=10)
IndexRune_Bytes/64M-8                               18.05Gi ± 2%    17.49Gi ± 2%     -3.13% (p=0.004 n=10)
IndexRuneASCII_Bytes/10-8                           2.747Gi ± 0%    1.537Gi ± 0%    -44.04% (p=0.000 n=10)
IndexRuneASCII_Bytes/32-8                           7.558Gi ± 0%    4.217Gi ± 0%    -44.20% (p=0.000 n=10)
IndexRuneASCII_Bytes/4K-8                           63.51Gi ± 0%    51.70Gi ± 0%    -18.59% (p=0.000 n=10)
IndexRuneASCII_Bytes/4M-8                           42.95Gi ± 3%    40.28Gi ± 2%     -6.23% (p=0.000 n=10)
IndexRuneASCII_Bytes/64M-8                          18.28Gi ± 2%    17.39Gi ± 1%     -4.92% (p=0.000 n=10)
IndexNonASCII_Bytes/10-8                            2.874Gi ± 0%    2.953Gi ± 0%     +2.75% (p=0.000 n=10)
IndexNonASCII_Bytes/32-8                            3.533Gi ± 0%    8.357Gi ± 0%   +136.52% (p=0.000 n=10)
IndexNonASCII_Bytes/4K-8                            4.366Gi ± 0%   53.744Gi ± 0%  +1131.08% (p=0.000 n=10)
IndexNonASCII_Bytes/4M-8                            4.407Gi ± 1%   40.524Gi ± 4%   +819.47% (p=0.000 n=10)
IndexNonASCII_Bytes/64M-8                           4.141Gi ± 2%   17.326Gi ± 3%   +318.39% (p=0.000 n=10)
geomean                                             10.73Gi         12.61Gi         +17.43%
