goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Xeon(R) Platinum 8488C
BenchmarkCountByte/4K-4              	   81405	     12820 ns/op	 319.51 MB/s	    4865 B/op	       2 allocs/op
BenchmarkCountByte/4K-4              	   84241	     12931 ns/op	 316.75 MB/s	    4865 B/op	       2 allocs/op
BenchmarkCountByte/4K-4              	   82002	     12994 ns/op	 315.22 MB/s	    4865 B/op	       2 allocs/op
BenchmarkCountByte/4K-4              	   80018	     12918 ns/op	 317.08 MB/s	    4865 B/op	       2 allocs/op
BenchmarkCountByte/4K-4              	   84084	     12925 ns/op	 316.91 MB/s	    4865 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      80	  13135817 ns/op	 319.30 MB/s	 4202497 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      78	  13032011 ns/op	 321.85 MB/s	 4202497 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      80	  12877136 ns/op	 325.72 MB/s	 4202500 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      78	  13092130 ns/op	 320.37 MB/s	 4202498 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      79	  13266519 ns/op	 316.16 MB/s	 4202497 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      76	  13538031 ns/op	 309.82 MB/s	 4202497 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      76	  13208666 ns/op	 317.54 MB/s	 4202497 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      88	  13013827 ns/op	 322.30 MB/s	 4202498 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      78	  13061274 ns/op	 321.13 MB/s	 4202498 B/op	       2 allocs/op
BenchmarkCountByte/4M-4              	      91	  12967079 ns/op	 323.46 MB/s	 4202497 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 212721171 ns/op	 315.48 MB/s	67117084 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 210781381 ns/op	 318.38 MB/s	67117065 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 210941498 ns/op	 318.14 MB/s	67117084 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 209223109 ns/op	 320.75 MB/s	67117065 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 213464556 ns/op	 314.38 MB/s	67117084 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 219850457 ns/op	 305.25 MB/s	67117065 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 209369250 ns/op	 320.53 MB/s	67117065 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 209364055 ns/op	 320.54 MB/s	67117104 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 209441353 ns/op	 320.42 MB/s	67117065 B/op	       2 allocs/op
BenchmarkCountByte/64M-4             	       5	 211409567 ns/op	 317.44 MB/s	67117084 B/op	       2 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	100000000	        11.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	100000000	        11.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	96083576	        11.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	100000000	        11.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	100000000	        11.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	100000000	        11.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	100000000	        11.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	100000000	        11.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	100000000	        11.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:1-4         	99275766	        11.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	83805150	        14.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	85645114	        14.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	85676484	        14.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	85083554	        14.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	85294029	        14.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	84792547	        14.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	83995897	        14.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	86724307	        14.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	82924962	        14.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:2-4         	84526696	        14.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	73096809	        16.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	72069508	        16.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	71488293	        16.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	71059867	        16.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	71562268	        16.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	73884254	        16.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	71006428	        16.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	72165626	        16.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	73764925	        16.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexAnyASCII/1:4-4         	72500766	        16.50 ns/op	       0 B/op	       0 allocs/op
